,revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
0,7,350000,Zona 10,5/28/20,5/28/20,0.0,2.0,2.0,158.00,14.595,-90.50399999999999
1,4,103896,Zona 18,5/28/20,5/28/20,0.0,5.0,3.0,150.00,14.665,-90.471
2,6,84299,Zona 7,5/28/20,5/28/20,0.0,3.0,2.0,85.00,14.639000000000001,-90.56
3,9,90273,Zona 1,5/28/20,5/28/20,0.0,2.0,2.0,69.00,14.645999999999999,-90.50299999999999
5,15,280000,,11/19/19,5/28/20,191.0,3.0,3.0,165.00,14.634,-90.506
6,10,375000,Zona 2,2/11/20,5/28/20,107.0,4.0,4.0,415.00,14.659,-90.50299999999999
7,17,525000,Zona 10,11/13/19,5/30/20,199.0,3.0,4.0,360.00,14.595,-90.50399999999999
8,19,385000,Zona 15,2/11/20,5/28/20,107.0,3.0,4.0,300.00,14.599,-90.493
9,10,345000,,2/26/20,5/28/20,92.0,10.0,3.0,290.00,14.634,-90.506
10,10,199000,Zona 10,1/24/20,5/28/20,125.0,2.0,2.0,120.00,14.592,-90.508
11,9,98714,Zona 1,5/28/20,5/28/20,0.0,3.0,2.0,63.00,14.640999999999998,-90.501
12,13,110390,Zona 6,8/29/19,5/28/20,273.0,3.0,3.0,190.00,14.675,-90.484
13,12,90909,Zona 4 de Mixco,11/19/19,5/28/20,191.0,3.0,2.0,100.00,14.657,-90.556
15,5,77194,Zona 1,5/28/20,5/28/20,0.0,1.0,1.0,42.00,14.636,-90.51
16,5,119000,Zona 15,5/28/20,5/28/20,0.0,2.0,2.0,65.00,14.595,-90.495
17,15,162338,Zona 6,5/28/20,6/3/20,6.0,10.0,7.0,442.00,14.665,-90.49
19,7,149351,Zona 1,5/27/20,5/27/20,0.0,3.0,2.0,189.00,14.639000000000001,-90.51
20,5,84286,Zona 7,5/25/20,5/25/20,0.0,3.0,2.0,83.00,14.639000000000001,-90.56
21,5,123377,Zona 7,5/25/20,5/25/20,0.0,3.0,2.0,200.00,14.627,-90.54799999999999
22,5,123377,Zona 7,5/25/20,5/25/20,0.0,3.0,1.0,200.00,14.629000000000001,-90.553
23,4,295000,Zona 16,5/25/20,5/25/20,0.0,4.0,3.0,285.00,14.607999999999999,-90.478
24,15,239000,Zona 10,10/13/19,5/25/20,225.0,2.0,2.0,100.00,14.6,-90.51
25,10,240000,Zona 10,2/5/20,5/25/20,110.0,3.0,2.0,174.00,14.592,-90.516
26,13,205000,Zona 10,2/22/20,5/25/20,93.0,1.0,2.0,107.00,14.595,-90.50399999999999
27,14,116883,,5/25/20,5/28/20,3.0,3.0,2.0,90.00,14.634,-90.506
28,5,215000,Zona 4 de Mixco,5/25/20,5/25/20,0.0,4.0,4.0,200.00,14.655,-90.542
29,14,189000,Zona 10,8/30/19,5/25/20,269.0,3.0,4.0,180.00,14.595,-90.50399999999999
30,5,187662,Zona 9,5/25/20,5/25/20,0.0,3.0,4.0,221.00,14.595,-90.521
31,15,89610,Zona 2,10/3/19,5/25/20,235.0,2.0,1.0,100.00,14.677999999999999,-90.5
32,201,275000,Zona 16,2/24/20,6/3/20,100.0,3.0,3.0,230.00,14.622,-90.46700000000001
33,9,207792,Zona 4 de Mixco,2/23/20,5/24/20,91.0,2.0,2.0,118.00,14.657,-90.556
34,12,280000,Zona 4,5/24/20,5/30/20,6.0,3.0,3.0,204.00,14.619000000000002,-90.51700000000001
36,7,199000,Zona 10,5/24/20,5/28/20,4.0,2.0,2.0,119.00,14.595,-90.50399999999999
37,5,220000,Zona 16,5/24/20,5/24/20,0.0,3.0,2.0,286.00,14.605,-90.477
38,6,260000,Zona 16,5/24/20,5/24/20,0.0,3.0,2.0,240.00,14.620999999999999,-90.46799999999999
39,5,285000,Zona 15,5/24/20,5/24/20,0.0,3.0,2.0,202.00,14.595,-90.495
40,9,253000,Zona 9,9/11/19,5/21/20,253.0,3.0,3.0,25.00,14.595,-90.521
41,5,319000,Zona 15,5/21/20,5/21/20,0.0,3.0,2.0,160.00,14.595,-90.495
42,9,315000,Zona 9,9/12/19,5/21/20,252.0,3.0,2.0,340.00,14.595,-90.521
43,9,150000,Zona 9,9/16/19,5/21/20,248.0,3.0,2.0,220.00,14.595,-90.521
44,12,165000,Zona 9,9/16/19,5/21/20,248.0,3.0,3.0,261.00,14.595,-90.521
45,9,105195,Zona 7,9/16/19,5/21/20,248.0,3.0,2.0,72.00,14.645,-90.538
47,9,425000,Zona 2,9/17/19,5/21/20,247.0,4.0,2.0,389.00,14.659,-90.509
48,10,126623,,2/17/20,5/21/20,94.0,3.0,2.0,180.00,14.634,-90.506
49,10,270000,,2/17/20,5/21/20,94.0,5.0,4.0,240.00,14.634,-90.506
50,11,100000,,2/18/20,5/21/20,93.0,3.0,2.0,200.00,14.634,-90.506
51,5,172274,Zona 15,5/21/20,5/21/20,0.0,2.0,2.0,123.00,14.595,-90.495
52,9,170000,Zona 9,2/20/20,5/21/20,91.0,3.0,2.0,280.00,14.595,-90.521
53,9,259000,Zona 15,2/20/20,5/21/20,91.0,2.0,1.0,98.00,14.595,-90.495
54,23,535000,Zona 9,9/26/19,5/25/20,242.0,3.0,5.0,395.00,14.607000000000001,-90.521
55,5,118823,Zona 2,5/21/20,5/21/20,0.0,2.0,1.0,85.00,14.665999999999999,-90.508
56,5,275000,Zona 16,5/21/20,5/21/20,0.0,3.0,4.0,210.00,14.614,-90.484
57,211,300000,Zona 16,2/20/20,6/3/20,104.0,1.0,2.0,202.00,14.612,-90.485
58,201,169000,Zona 15,2/20/20,6/3/20,104.0,2.0,2.0,100.00,14.597999999999999,-90.493
59,7,395000,Zona 9,5/21/20,5/22/20,1.0,4.0,5.0,330.00,14.607000000000001,-90.52
60,6,90260,Zona 1,5/20/20,5/20/20,0.0,2.0,2.0,67.00,14.645999999999999,-90.50299999999999
62,6,90273,Zona 1,5/20/20,5/20/20,0.0,3.0,2.0,65.00,14.645999999999999,-90.50299999999999
63,6,98701,Zona 1,5/20/20,5/20/20,0.0,3.0,2.0,66.00,14.640999999999998,-90.501
64,11,87662,Zona 1,5/20/20,5/27/20,7.0,3.0,2.0,70.00,14.640999999999998,-90.501
65,215,141224,Zona 10,2/19/20,6/3/20,105.0,2.0,3.0,108.00,14.594000000000001,-90.50299999999999
66,210,172274,Zona 15,2/19/20,6/3/20,105.0,2.0,3.0,123.00,14.597999999999999,-90.493
67,20,298701,Zona 1,2/12/20,5/23/20,101.0,5.0,2.0,335.00,14.639000000000001,-90.51
68,9,87662,Zona 1,10/26/19,5/19/20,206.0,3.0,2.0,70.00,14.64,-90.501
69,4,350000,Zona 15,5/19/20,5/19/20,0.0,4.0,4.0,289.00,14.599,-90.493
70,28,510000,Zona 1,2/2/20,5/30/20,118.0,0.0,8.0,1000.00,14.644,-90.515
72,5,120000,,5/19/20,5/19/20,0.0,2.0,1.0,120.00,14.634,-90.506
74,5,179000,,5/19/20,5/19/20,0.0,2.0,2.0,78.00,14.634,-90.506
75,214,97403,Zona 4 de Mixco,2/18/20,6/3/20,106.0,3.0,2.0,84.00,14.659,-90.54899999999999
76,216,252093,Zona 15,2/18/20,6/3/20,106.0,3.0,3.0,189.00,14.595,-90.48899999999999
77,211,64935,Zona 3,2/18/20,6/3/20,106.0,3.0,2.0,120.00,14.633,-90.524
78,5,220000,,5/18/20,5/18/20,0.0,3.0,3.0,220.00,14.634,-90.506
79,5,194805,,5/18/20,5/18/20,0.0,3.0,2.0,175.00,14.634,-90.506
80,9,414544,Zona 15,9/13/19,5/15/20,245.0,3.0,2.0,208.00,14.595,-90.495
84,9,230000,Zona 9,9/16/19,5/15/20,242.0,4.0,2.0,300.00,14.595,-90.521
85,5,210000,,5/15/20,5/15/20,0.0,3.0,2.0,233.00,14.634,-90.506
86,5,340000,,5/15/20,5/15/20,0.0,4.0,3.0,349.00,14.634,-90.506
87,5,225000,Zona 15,5/15/20,5/15/20,0.0,3.0,2.0,194.00,14.599,-90.493
88,5,215000,,5/15/20,5/15/20,0.0,3.0,2.0,300.00,14.634,-90.506
89,10,365000,,1/21/20,5/15/20,115.0,3.0,2.0,240.00,14.634,-90.506
90,10,250000,,2/5/20,5/15/20,100.0,3.0,2.0,306.00,14.634,-90.506
91,5,420000,,5/15/20,5/15/20,0.0,4.0,3.0,260.00,14.634,-90.506
92,5,355000,,5/15/20,5/15/20,0.0,3.0,2.0,302.00,14.634,-90.506
93,7,105000,Zona 16,5/15/20,6/1/20,17.0,3.0,1.0,73.00,14.61,-90.48299999999999
94,5,336000,Zona 15,5/15/20,5/15/20,0.0,4.0,2.0,176.00,14.599,-90.493
95,4,110390,Zona 5,5/15/20,5/15/20,0.0,3.0,2.0,200.00,14.639000000000001,-90.49
96,4,181818,Zona 16,5/15/20,5/15/20,0.0,3.0,3.0,105.00,14.610999999999999,-90.477
97,7,495000,Zona 15,5/15/20,5/16/20,1.0,3.0,6.0,416.00,14.597999999999999,-90.493
98,7,420000,Zona 10,5/15/20,5/16/20,1.0,2.0,3.0,239.00,14.597999999999999,-90.507
100,9,129221,Zona 7,9/27/19,5/14/20,230.0,3.0,3.0,100.00,14.645,-90.539
101,9,335000,Zona 9,10/2/19,5/14/20,225.0,3.0,2.0,340.00,14.595,-90.521
103,9,194805,Zona 2,11/14/19,5/14/20,182.0,4.0,4.0,480.00,14.659,-90.51
104,9,389610,Zona 9,9/27/19,5/14/20,230.0,1.0,2.0,527.00,14.607000000000001,-90.521
105,9,185000,Zona 2,11/4/19,5/14/20,192.0,4.0,1.0,250.00,14.659,-90.51
106,9,90909,Zona 7,11/5/19,5/14/20,191.0,3.0,2.0,25.00,14.645,-90.539
107,9,239913,Zona 15,11/8/19,5/14/20,188.0,2.0,1.0,105.00,14.595,-90.495
108,9,110000,Zona 9,11/12/19,5/14/20,184.0,1.0,1.0,65.00,14.595,-90.521
109,9,285000,Zona 9,11/14/19,5/14/20,182.0,3.0,2.0,2150.00,14.595,-90.521
110,9,350000,Zona 9,11/14/19,5/14/20,182.0,4.0,4.0,25.00,14.595,-90.521
111,9,285000,Zona 9,2/7/20,5/14/20,97.0,4.0,2.0,301.00,14.595,-90.521
112,9,200000,Zona 9,2/9/20,5/14/20,95.0,6.0,6.0,350.00,14.595,-90.521
113,9,119000,Zona 9,2/7/20,5/14/20,97.0,4.0,3.0,244.00,14.595,-90.521
114,5,68182,Zona 7,5/14/20,5/14/20,0.0,4.0,1.0,247.00,14.635,-90.541
115,9,215000,Zona 4,2/9/20,5/14/20,95.0,2.0,3.0,25.00,14.619000000000002,-90.51700000000001
116,5,64901,Zona 5,5/14/20,5/14/20,0.0,1.0,1.0,37.00,14.623,-90.495
117,9,178000,Zona 15,5/14/20,5/15/20,1.0,1.0,1.0,116.00,14.599,-90.493
118,9,249000,Zona 15,5/14/20,5/15/20,1.0,2.0,2.0,153.00,14.599,-90.493
119,11,600000,Zona 1,5/14/20,5/30/20,16.0,10.0,10.0,1421.00,14.636,-90.51
120,8,540000,Zona 16,5/13/20,5/14/20,1.0,2.0,2.0,218.00,14.618,-90.477
121,7,201299,Zona 16,5/13/20,5/14/20,1.0,4.0,5.0,230.00,14.618,-90.471
123,47,420000,Zona 10,5/13/20,6/3/20,21.0,2.0,3.0,239.00,14.597000000000001,-90.50200000000001
124,241,385000,Zona 15,2/11/20,6/3/20,113.0,3.0,2.0,268.00,14.597999999999999,-90.493
126,5,298000,Zona 7,5/12/20,5/12/20,0.0,4.0,2.0,176.00,14.637,-90.551
127,16,144349,Zona 10,2/7/20,5/28/20,111.0,1.0,2.0,63.52,14.591,-90.505
128,5,207792,Zona 3,5/12/20,5/12/20,0.0,3.0,3.0,250.00,14.636,-90.527
129,49,175325,Zona 1,5/12/20,6/3/20,22.0,6.0,3.0,190.00,14.645999999999999,-90.505
130,49,300000,Zona 15,5/12/20,6/3/20,22.0,3.0,3.0,254.00,14.597000000000001,-90.493
131,14,230000,Zona 9,2/11/20,5/12/20,91.0,3.0,3.0,225.00,14.595,-90.521
132,6,150000,Zona 2,5/11/20,5/21/20,10.0,4.0,6.0,220.00,14.665999999999999,-90.501
133,15,111039,,2/5/20,5/28/20,113.0,3.0,2.0,160.00,14.634,-90.506
134,5,113896,Zona 11,5/11/20,5/11/20,0.0,3.0,2.0,65.00,14.607000000000001,-90.54799999999999
135,11,126623,Zona 1,5/11/20,5/11/20,0.0,6.0,4.0,250.00,14.642999999999999,-90.50200000000001
136,5,320000,Zona 15,5/11/20,5/11/20,0.0,2.0,2.0,197.00,14.599,-90.493
137,5,210000,Zona 15,5/11/20,5/11/20,0.0,2.0,2.0,120.80,14.599,-90.493
138,5,422078,Zona 2,5/11/20,5/11/20,0.0,5.0,4.0,515.00,14.665999999999999,-90.508
139,7,116234,Zona 17,5/10/20,5/10/20,0.0,3.0,2.0,92.00,14.642999999999999,-90.46600000000001
140,241,425000,Zona 15,2/6/20,6/3/20,118.0,3.0,5.0,255.00,14.597000000000001,-90.493
141,339,198000,Zona 1,1/16/20,6/3/20,139.0,3.0,3.0,238.00,14.636,-90.505
142,345,130897,Zona 7,1/16/20,6/3/20,139.0,3.0,2.0,101.00,14.647,-90.536
143,342,111727,Zona 1,1/16/20,6/3/20,139.0,3.0,2.0,66.00,14.642000000000001,-90.499
144,345,150000,Zona 7,1/16/20,6/3/20,139.0,3.0,3.0,183.00,14.63,-90.538
145,60,116000,Zona 11,5/7/20,6/3/20,27.0,3.0,2.0,95.00,14.605,-90.545
147,11,325000,Zona 4 de Mixco,1/20/20,5/6/20,107.0,4.0,4.0,246.30,14.655,-90.542
148,10,220000,Zona 15,2/4/20,5/6/20,92.0,2.0,2.0,110.00,14.607999999999999,-90.488
149,4,259740,Zona 5,5/6/20,5/6/20,0.0,4.0,2.0,120.00,14.625,-90.499
150,5,116883,Zona 3,5/6/20,5/6/20,0.0,4.0,3.0,25.00,14.630999999999998,-90.52600000000001
151,5,260000,Zona 9,5/6/20,5/6/20,0.0,4.0,3.0,390.00,14.595,-90.521
152,12,350000,Zona 10,1/23/20,5/6/20,104.0,3.0,3.0,179.00,14.599,-90.509
153,5,77532,Zona 1,5/6/20,5/6/20,0.0,2.0,2.0,60.00,14.645999999999999,-90.50399999999999
154,13,188312,Zona 16,12/11/19,5/6/20,147.0,5.0,4.0,280.00,14.614,-90.48299999999999
155,9,59091,,5/6/20,5/14/20,8.0,2.0,1.0,70.00,14.634,-90.506
156,61,544640,Zona 11,5/6/20,6/3/20,28.0,10.0,10.0,463.00,14.606,-90.54799999999999
157,61,331350,Zona 11,5/6/20,6/3/20,28.0,6.0,6.0,278.00,14.606,-90.54700000000001
158,8,295000,Zona 15,5/5/20,5/18/20,13.0,6.0,2.0,255.00,14.599,-90.493
159,13,139610,Zona 7,7/18/19,5/5/20,292.0,3.0,2.0,172.00,14.645,-90.538
160,11,125000,Zona 4,2/4/20,5/5/20,91.0,1.0,1.0,65.00,14.61,-90.506
162,10,380000,Zona 10,2/4/20,5/5/20,91.0,4.0,4.0,266.00,14.591,-90.50299999999999
163,63,123500,Zona 11,5/5/20,6/3/20,29.0,2.0,2.0,93.00,14.606,-90.545
164,63,437960,Zona 16,5/5/20,6/3/20,29.0,3.0,3.0,208.00,14.610999999999999,-90.485
165,64,121000,Zona 11,5/5/20,6/3/20,29.0,2.0,2.0,93.00,14.606,-90.545
166,68,134300,Zona 11,5/5/20,6/3/20,29.0,3.0,2.0,102.00,14.606,-90.545
167,36,50260,Zona 4,5/5/20,5/21/20,16.0,1.0,1.0,25.00,14.62,-90.515
168,58,123117,Zona 1,5/5/20,6/3/20,29.0,3.0,2.0,65.00,14.642999999999999,-90.51100000000001
169,58,75974,Zona 4,5/5/20,6/3/20,29.0,2.0,1.0,36.00,14.62,-90.515
170,9,160000,Zona 10,5/5/20,5/7/20,2.0,2.0,2.0,75.00,14.597999999999999,-90.507
171,9,208000,Zona 7,2/4/20,5/5/20,91.0,3.0,2.0,210.00,14.635,-90.541
172,6,155844,Zona 4 de Mixco,5/4/20,5/4/20,0.0,3.0,2.0,280.00,14.657,-90.556
173,11,150000,Zona 15,10/14/19,5/17/20,216.0,1.0,2.0,72.00,14.595,-90.495
174,9,119481,Zona 2,10/14/19,5/4/20,203.0,2.0,1.0,25.00,14.659,-90.51
175,9,91648,Zona 15,10/25/19,5/4/20,192.0,1.0,1.0,55.00,14.595,-90.495
176,9,240000,Zona 9,10/31/19,5/4/20,186.0,4.0,4.0,325.00,14.595,-90.521
177,9,370000,Zona 9,10/31/19,5/4/20,186.0,4.0,4.0,430.00,14.595,-90.521
178,9,335000,Zona 9,10/31/19,5/4/20,186.0,3.0,3.0,350.00,14.595,-90.521
