,City,latitude,longitude,Tipo,Bedrooms,Bathrooms,Surface,Zone,Zone_Val,Price_USD,Price_m2_USD
1,Ciudad de Guatemala,14.595,-90.521,42021,4,2,400.0,Zona 9,9,370000.0,925.0
2,Ciudad de Guatemala,14.595,-90.495,42020,2,2,420.0,Zona 15,15,450000.0,1071.43
3,Ciudad de Guatemala,14.595,-90.495,42021,4,3,643.0,Zona 15,15,540000.0,839.81
4,Ciudad de Guatemala,14.595,-90.521,42021,3,2,295.0,Zona 9,9,425000.0,1440.68
5,Ciudad de Guatemala,14.595,-90.504,42020,2,3,160.0,Zona 10,10,285000.0,1781.25
6,Ciudad de Guatemala,14.599,-90.502,42020,3,4,167.0,Zona 10,10,380000.0,2275.45
7,Ciudad de Guatemala,14.636,-90.51,42020,0,1,38.0,Zona 1,1,76470.59,2012.38
8,Ciudad de Guatemala,14.595,-90.521,42020,3,2,120.0,Zona 9,9,120000.0,1000.0
9,Ciudad de Guatemala,14.638,-90.499,42021,4,5,270.0,Zona 1,1,103267.97,382.47
11,Ciudad de Guatemala,14.595,-90.495,42020,3,1,289.0,Zona 15,15,490000.0,1695.5
12,Ciudad de Guatemala,14.595,-90.495,42020,3,2,366.0,Zona 15,15,665000.0,1816.94
13,Ciudad de Guatemala,14.595,-90.495,42020,2,3,58.0,Zona 15,15,145000.0,2500.0
14,Ciudad de Guatemala,14.595,-90.495,42020,2,2,137.0,Zona 15,15,245000.0,1788.32
15,Ciudad de Guatemala,14.645,-90.538,42020,3,2,76.0,Zona 7,7,131740.13,1733.42
16,Ciudad de Guatemala,14.645,-90.538,42020,2,2,63.0,Zona 7,7,154994.12,2460.22
17,Ciudad de Guatemala,14.595,-90.495,42020,2,2,127.0,Zona 15,15,210000.0,1653.54
18,Ciudad de Guatemala,14.611,-90.484,42020,3,2,130.0,Zona 16,16,240000.0,1846.15
19,Ciudad de Guatemala,14.59,-90.51,42020,2,3,195.0,Zona 10,10,215000.0,1102.56
20,Ciudad de Guatemala,14.643,-90.539,42021,2,2,200.0,Zona 7,7,189542.48,947.71
21,Ciudad de Guatemala,14.645,-90.537,42021,3,3,250.0,Zona 7,7,190000.0,760.0
22,Ciudad de Guatemala,14.595,-90.504,42021,3,3,280.0,Zona 10,10,370000.0,1321.43
23,Ciudad de Guatemala,14.598,-90.498,42021,3,3,250.0,Zona 10,10,420000.0,1680.0
25,Ciudad de Guatemala,14.624,-90.545,42021,9,4,267.0,Zona 7,7,143790.85,538.54
26,Ciudad de Guatemala,14.624,-90.545,42021,9,4,267.0,Zona 7,7,143790.85,538.54
27,Ciudad de Guatemala,14.593,-90.507,42021,4,3,300.0,Zona 10,10,300000.0,1000.0
28,Ciudad de Guatemala,14.595,-90.504,42020,2,2,133.0,Zona 10,10,290000.0,2180.45
29,Ciudad de Guatemala,14.64,-90.505,42021,8,4,400.0,Zona 1,1,228758.17,571.9
30,Ciudad de Guatemala,14.61,-90.483,42021,3,2,315.0,Zona 16,16,330000.0,1047.62
31,Ciudad de Guatemala,14.639,-90.51,42020,2,3,120.0,Zona 1,1,190000.0,1583.33
32,Ciudad de Guatemala,14.607,-90.52,42020,2,1,108.0,Zona 9,9,140000.0,1296.3
33,Ciudad de Guatemala,14.593,-90.51,42020,2,2,136.0,Zona 10,10,185000.0,1360.29
34,Ciudad de Guatemala,14.635,-90.541,42021,4,1,231.0,Zona 7,7,78431.37,339.53
35,Ciudad de Guatemala,14.645,-90.538,42021,4,4,324.0,Zona 7,7,307189.54,948.12
36,Ciudad de Guatemala,14.645,-90.538,42021,4,4,324.0,Zona 7,7,307189.54,948.12
37,Mixco,14.657,-90.556,42020,3,2,83.0,Zona 4 de Mixco,4,91372.55,1100.87
38,Ciudad de Guatemala,14.626,-90.467,42020,3,2,84.0,Zona 17,17,130000.0,1547.62
39,Ciudad de Guatemala,14.598,-90.493,42021,4,1,250.0,Zona 15,15,350000.0,1400.0
40,Mixco,14.643,-90.56,42020,1,1,77.0,Zona 4 de Mixco,4,90000.0,1168.83
41,Ciudad de Guatemala,14.644,-90.514,42020,1,1,64.0,Zona 1,1,101019.61,1578.43
42,Ciudad de Guatemala,14.645,-90.497,42021,6,3,216.0,Zona 1,1,248366.01,1149.84
43,Ciudad de Guatemala,14.651,-90.542,42021,3,3,130.0,Zona 7,7,87581.7,673.71
44,Ciudad de Guatemala,14.595,-90.495,42020,4,4,588.0,Zona 15,15,979700.0,1666.16
45,Ciudad de Guatemala,14.595,-90.495,42021,3,2,388.0,Zona 15,15,685000.0,1765.46
48,Ciudad de Guatemala,14.595,-90.521,42021,3,2,253.0,Zona 9,9,230000.0,909.09
49,Ciudad de Guatemala,14.636,-90.51,42021,3,2,171.0,Zona 1,1,169934.64,993.77
50,Ciudad de Guatemala,14.595,-90.521,42021,3,2,250.0,Zona 9,9,245000.0,980.0
51,Ciudad de Guatemala,14.595,-90.521,42021,3,2,250.0,Zona 9,9,280000.0,1120.0
52,Ciudad de Guatemala,14.595,-90.521,42021,3,2,300.0,Zona 9,9,355000.0,1183.33
53,Ciudad de Guatemala,14.607,-90.52,42020,3,2,93.0,Zona 9,9,170000.0,1827.96
55,Ciudad de Guatemala,14.595,-90.495,42020,2,2,137.0,Zona 15,15,240000.0,1751.82
56,Ciudad de Guatemala,14.595,-90.495,42020,2,3,130.0,Zona 15,15,230000.0,1769.23
57,Ciudad de Guatemala,14.595,-90.495,42020,3,3,210.0,Zona 15,15,330000.0,1571.43
58,Ciudad de Guatemala,14.637,-90.54,42020,1,1,44.0,Zona 7,7,81512.29,1852.55
60,Ciudad de Guatemala,14.63,-90.492,42020,3,2,110.0,Zona 5,5,128267.97,1166.07
61,Ciudad de Guatemala,14.61,-90.483,42021,3,2,210.0,Zona 16,16,189000.0,900.0
62,Ciudad de Guatemala,14.595,-90.504,42021,3,2,185.0,Zona 10,10,325000.0,1756.76
63,Ciudad de Guatemala,14.648,-90.511,42020,2,3,205.39,Zona 1,1,225000.0,1095.48
64,Ciudad de Guatemala,14.638,-90.553,42021,10,4,440.0,Zona 7,7,285000.0,647.73
65,Ciudad de Guatemala,14.659,-90.503,42021,8,4,450.0,Zona 2,2,156862.75,348.58
66,Ciudad de Guatemala,14.642,-90.503,42021,6,2,200.0,Zona 1,1,194771.24,973.86
67,Ciudad de Guatemala,14.601,-90.494,42021,3,3,250.0,Zona 15,15,419000.0,1676.0
68,Ciudad de Guatemala,14.595,-90.504,42020,2,2,100.0,Zona 10,10,250000.0,2500.0
69,Ciudad de Guatemala,14.595,-90.504,42021,8,5,350.0,Zona 10,10,1100000.0,3142.86
70,Ciudad de Guatemala,14.61,-90.483,42020,2,2,75.0,Zona 16,16,215686.27,2875.82
71,Ciudad de Guatemala,14.618,-90.469,42021,3,3,200.0,Zona 16,16,290000.0,1450.0
72,Ciudad de Guatemala,14.598,-90.493,42020,3,3,178.0,Zona 15,15,376034.0,2112.55
73,Ciudad de Guatemala,14.598,-90.493,42020,4,3,315.0,Zona 15,15,586340.0,1861.4
74,Ciudad de Guatemala,14.598,-90.493,42020,2,2,184.0,Zona 15,15,376700.0,2047.28
75,Ciudad de Guatemala,14.62,-90.516,42020,1,1,46.0,Zona 4,4,112079.35,2436.51
76,Ciudad de Guatemala,14.595,-90.504,42020,2,2,150.0,Zona 10,10,220000.0,1466.67
78,Ciudad de Guatemala,14.595,-90.495,42020,3,2,109.0,Zona 15,15,219223.0,2011.22
79,Ciudad de Guatemala,14.594,-90.494,42020,2,2,70.0,Zona 15,15,148200.0,2117.14
80,Ciudad de Guatemala,14.645,-90.515,42021,5,2,135.0,Zona 1,1,98039.22,726.22
82,Ciudad de Guatemala,14.645,-90.515,42021,5,1,185.0,Zona 1,1,117647.06,635.93
83,Ciudad de Guatemala,14.675,-90.484,42021,5,3,310.0,Zona 6,6,179738.56,579.8
84,Ciudad de Guatemala,14.639,-90.51,42021,6,4,480.0,Zona 1,1,215686.27,449.35
85,Ciudad de Guatemala,14.618,-90.485,42021,4,5,550.0,Zona 16,16,1300000.0,2363.64
86,Ciudad de Guatemala,14.595,-90.495,42020,3,3,150.0,Zona 15,15,150000.0,1000.0
87,Ciudad de Guatemala,14.645,-90.513,42021,3,2,200.0,Zona 1,1,228758.17,1143.79
88,Ciudad de Guatemala,14.61,-90.483,42020,3,2,100.0,Zona 16,16,158000.0,1580.0
89,Ciudad de Guatemala,14.623,-90.479,42021,3,3,352.0,Zona 16,16,248366.01,705.59
90,Ciudad de Guatemala,14.595,-90.495,42020,2,3,100.0,Zona 15,15,139273.0,1392.73
91,Ciudad de Guatemala,14.61,-90.471,42021,3,4,301.0,Zona 16,16,376237.0,1249.96
92,Ciudad de Guatemala,14.614,-90.494,42021,4,5,665.0,Zona 16,16,1275000.0,1917.29
93,Ciudad de Guatemala,14.618,-90.476,42021,3,2,450.0,Zona 16,16,840000.0,1866.67
94,Ciudad de Guatemala,14.617,-90.481,42021,3,4,322.0,Zona 16,16,435000.0,1350.93
95,Ciudad de Guatemala,14.612,-90.483,42021,4,3,594.0,Zona 16,16,1200000.0,2020.2
96,Ciudad de Guatemala,14.59,-90.505,42021,3,2,57.0,Zona 10,10,111111.11,1949.32
97,Ciudad de Guatemala,14.609,-90.486,42021,3,4,270.0,Zona 16,16,283986.93,1051.8
98,Ciudad de Guatemala,14.603,-90.531,42021,3,2,176.0,Zona 9,9,180941.18,1028.07
99,Ciudad de Guatemala,14.595,-90.495,42020,2,2,182.0,Zona 15,15,395000.0,2170.33
100,Ciudad de Guatemala,14.61,-90.483,42020,2,3,121.0,Zona 16,16,340000.0,2809.92
102,Ciudad de Guatemala,14.595,-90.495,42020,3,2,589.0,Zona 15,15,1110800.0,1885.91
103,Ciudad de Guatemala,14.595,-90.495,42020,4,3,588.0,Zona 15,15,979700.0,1666.16
104,Ciudad de Guatemala,14.595,-90.495,42020,3,2,260.0,Zona 15,15,557968.0,2146.03
105,Ciudad de Guatemala,14.598,-90.536,42021,4,3,477.0,Zona 9,9,275000.0,576.52
106,Ciudad de Guatemala,14.599,-90.536,42021,3,1,90.0,Zona 9,9,19477.12,216.41
107,Mixco,14.657,-90.556,42021,2,1,90.0,Zona 4 de Mixco,4,6535.95,72.62
108,Ciudad de Guatemala,14.624,-90.471,42020,3,1,68.0,Zona 16,16,82000.0,1205.88
109,Ciudad de Guatemala,14.598,-90.536,42020,2,2,316.53,Zona 9,9,420000.0,1326.89
111,Mixco,14.657,-90.556,42021,7,3,290.0,Zona 4 de Mixco,4,235294.12,811.36
113,Mixco,14.657,-90.556,42020,3,2,100.0,Zona 4 de Mixco,4,79084.97,790.85
114,Ciudad de Guatemala,14.61,-90.483,42021,3,2,242.5,Zona 16,16,225000.0,927.84
115,Ciudad de Guatemala,14.595,-90.504,42020,2,2,88.7,Zona 10,10,168500.0,1899.66
116,Ciudad de Guatemala,14.647,-90.504,42020,2,2,75.0,Zona 1,1,90849.67,1211.33
117,Ciudad de Guatemala,14.609,-90.486,42021,3,4,225.0,Zona 16,16,275000.0,1222.22
118,Ciudad de Guatemala,14.595,-90.504,42021,3,2,455.0,Zona 10,10,475000.0,1043.96
119,Ciudad de Guatemala,14.595,-90.504,42020,3,2,222.0,Zona 10,10,325000.0,1463.96
120,Ciudad de Guatemala,14.595,-90.495,42020,3,2,167.0,Zona 15,15,443000.0,2652.69
121,Ciudad de Guatemala,14.591,-90.503,42020,2,3,180.0,Zona 10,10,325000.0,1805.56
122,Ciudad de Guatemala,14.591,-90.503,42020,2,3,180.0,Zona 10,10,325000.0,1805.56
123,Ciudad de Guatemala,14.598,-90.536,42021,3,2,200.0,Zona 9,9,150000.0,750.0
124,Ciudad de Guatemala,14.639,-90.51,42021,8,8,600.0,Zona 1,1,1300000.0,2166.67
125,Ciudad de Guatemala,14.635,-90.541,42021,3,2,161.0,Zona 7,7,128104.58,795.68
126,Ciudad de Guatemala,14.599,-90.509,42020,2,2,139.0,Zona 10,10,250000.0,1798.56
128,Ciudad de Guatemala,14.645,-90.538,42021,4,4,324.0,Zona 7,7,307189.54,948.12
129,Ciudad de Guatemala,14.645,-90.538,42021,4,4,324.0,Zona 7,7,307189.54,948.12
130,Ciudad de Guatemala,14.63,-90.515,42021,3,4,220.0,Zona 1,1,595000.0,2704.55
131,Ciudad de Guatemala,14.63,-90.515,42021,5,5,360.0,Zona 1,1,380000.0,1055.56
132,Ciudad de Guatemala,14.609,-90.486,42021,3,4,180.0,Zona 16,16,150000.0,833.33
133,Ciudad de Guatemala,14.61,-90.483,42020,4,4,437.0,Zona 16,16,1189000.0,2720.82
134,Ciudad de Guatemala,14.61,-90.483,42021,3,3,250.0,Zona 16,16,255000.0,1020.0
135,Ciudad de Guatemala,14.615,-90.519,42021,3,3,382.0,Zona 4,4,350000.0,916.23
136,Ciudad de Guatemala,14.598,-90.496,42020,2,2,104.0,Zona 15,15,205000.0,1971.15
137,Ciudad de Guatemala,14.633,-90.503,42021,10,6,300.0,Zona 5,5,215686.27,718.95
138,Ciudad de Guatemala,14.639,-90.51,42021,7,3,346.8,Zona 1,1,235294.12,678.47
