revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
7,350000,Zona 10,5/28/20,5/28/20,0.00,2.00,2.00,158.00,14.595,-90.504
4,103896,Zona 18,5/28/20,5/28/20,0.00,5.00,3.00,150.00,14.665,-90.471
6,84299,Zona 7,5/28/20,5/28/20,0.00,3.00,2.00,85.00,14.639,-90.56
9,90273,Zona 1,5/28/20,5/28/20,0.00,2.00,2.00,69.00,14.646,-90.503
13,1375000,Zona 15,2/13/20,5/28/20,105.00,5.00,7.00,664.00,14.612,-90.493
15,280000,,11/19/19,5/28/20,191.00,3.00,3.00,165.00,14.634,-90.506
10,375000,Zona 2,2/11/20,5/28/20,107.00,4.00,4.00,415.00,14.659,-90.503
17,525000,Zona 10,11/13/19,5/30/20,199.00,3.00,4.00,360.00,14.595,-90.504
19,385000,Zona 15,2/11/20,5/28/20,107.00,3.00,4.00,300.00,14.599,-90.493
10,345000,,2/26/20,5/28/20,92.00,10.00,3.00,290.00,14.634,-90.506
10,199000,Zona 10,1/24/20,5/28/20,125.00,2.00,2.00,120.00,14.592,-90.508
9,98714,Zona 1,5/28/20,5/28/20,0.00,3.00,2.00,63.00,14.641,-90.501
13,110390,Zona 6,8/29/19,5/28/20,273.00,3.00,3.00,190.00,14.675,-90.484
12,90909,Zona 4 de Mixco,11/19/19,5/28/20,191.00,3.00,2.00,100.00,14.657,-90.556
12,1900,Zona 10,10/16/19,5/28/20,225.00,3.00,3.00,220.00,14.6,-90.508
5,77194,Zona 1,5/28/20,5/28/20,0.00,1.00,1.00,42.00,14.636,-90.51
5,119000,Zona 15,5/28/20,5/28/20,0.00,2.00,2.00,65.00,14.595,-90.495
15,162338,Zona 6,5/28/20,6/3/20,6.00,10.00,7.00,442.00,14.665,-90.49
7,1000000,Zona 9,5/28/20,5/29/20,1.00,10.00,5.00,663.00,14.607,-90.521
7,149351,Zona 1,5/27/20,5/27/20,0.00,3.00,2.00,189.00,14.639,-90.51
5,84286,Zona 7,5/25/20,5/25/20,0.00,3.00,2.00,83.00,14.639,-90.56
5,123377,Zona 7,5/25/20,5/25/20,0.00,3.00,2.00,200.00,14.627,-90.548
5,123377,Zona 7,5/25/20,5/25/20,0.00,3.00,1.00,200.00,14.629,-90.553
4,295000,Zona 16,5/25/20,5/25/20,0.00,4.00,3.00,285.00,14.608,-90.478
15,239000,Zona 10,10/13/19,5/25/20,225.00,2.00,2.00,100.00,14.6,-90.51
10,240000,Zona 10,2/5/20,5/25/20,110.00,3.00,2.00,174.00,14.592,-90.516
13,205000,Zona 10,2/22/20,5/25/20,93.00,1.00,2.00,107.00,14.595,-90.504
14,116883,,5/25/20,5/28/20,3.00,3.00,2.00,90.00,14.634,-90.506
5,215000,Zona 4 de Mixco,5/25/20,5/25/20,0.00,4.00,4.00,200.00,14.655,-90.542
14,189000,Zona 10,8/30/19,5/25/20,269.00,3.00,4.00,180.00,14.595,-90.504
5,187662,Zona 9,5/25/20,5/25/20,0.00,3.00,4.00,221.00,14.595,-90.521
15,89610,Zona 2,10/3/19,5/25/20,235.00,2.00,1.00,100.00,14.678,-90.5
201,275000,Zona 16,2/24/20,6/3/20,100.00,3.00,3.00,230.00,14.622,-90.467
9,207792,Zona 4 de Mixco,2/23/20,5/24/20,91.00,2.00,2.00,118.00,14.657,-90.556
12,280000,Zona 4,5/24/20,5/30/20,6.00,3.00,3.00,204.00,14.619,-90.517
5,695000,Zona 15,5/24/20,5/24/20,0.00,4.00,5.00,651.00,14.595,-90.495
7,199000,Zona 10,5/24/20,5/28/20,4.00,2.00,2.00,119.00,14.595,-90.504
5,220000,Zona 16,5/24/20,5/24/20,0.00,3.00,2.00,286.00,14.605,-90.477
6,260000,Zona 16,5/24/20,5/24/20,0.00,3.00,2.00,240.00,14.621,-90.468
5,285000,Zona 15,5/24/20,5/24/20,0.00,3.00,2.00,202.00,14.595,-90.495
9,253000,Zona 9,9/11/19,5/21/20,253.00,3.00,3.00,25.00,14.595,-90.521
5,319000,Zona 15,5/21/20,5/21/20,0.00,3.00,2.00,160.00,14.595,-90.495
9,315000,Zona 9,9/12/19,5/21/20,252.00,3.00,2.00,340.00,14.595,-90.521
9,150000,Zona 9,9/16/19,5/21/20,248.00,3.00,2.00,220.00,14.595,-90.521
12,165000,Zona 9,9/16/19,5/21/20,248.00,3.00,3.00,261.00,14.595,-90.521
9,105195,Zona 7,9/16/19,5/21/20,248.00,3.00,2.00,72.00,14.645,-90.538
8,3247,Zona 1,5/21/20,5/22/20,1.00,1.00,1.00,25.00,14.639,-90.51
